Artist,Title,Genre,Year,Duration,Loudness
Talking Heads,Papa Legba (2005 Digital Remaster),rock,1986,355.73506,-9.306
Spooky Tooth,Waitin' For The Wind,rock,1969,222.14485,-14.736
Jake Hess,I Know Where I Am Now,southern gospel,2004,298.89261,-15.102
Bessie Smith,Chicago Bound Blues,jazz,1991,187.03628,-19.27
Jimmy Page,Liquid Mercury,hard rock,1988,184.78975,-10.939
The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan,Long Way From Home,blues,1990,196.57098,-7.827
Silverchair,Roses,grunge,1997,209.00526,-5.945
DJ Harry,Other Side of You,trip hop,2004,327.47057,-6.152
Pescado Rabioso,¡Hola_ Pequeño Ser!,rock,1973,579.44771,-12.977
John Fogerty,Soda Pop,rock,1986,354.35057,-7.333
Behemoth,Malice,death metal,2000,146.46812,-5.497
Sophie B. Hawkins,I Want You,singer-songwriter,1992,316.76036,-11.76
Cake,Arco Arena,post-grunge,2001,91.32363,-9.558
The Forms,Red Gun,indie rock,2007,145.08363,-9.098
Crucial Conflict,Ride Out Dip,hip hop,2008,230.5824,-5.79
Timo Maas,First Day (Album version),electronic,2005,232.38485,-5.797
Placebo,Every You Every Me (Infected By The Scourge Of The Earth),rock,1999,237.94893,-6.519
Bill Cosby,Wives ( LP Version ),funk,1967,157.43955,-13.915
Bon Jovi / Ray Davies,Celluloid Heroes,rock,2002,336.84853,-5.158
brokeNCYDE,Freaxxx,pop rap,2008,214.9873,-11.588
Xzibit,Loud & Clear (featuring Defari_ King T & Butch Cassidy),rap,2000,213.78567,-6.065
Jimmy Page,Writes Of Winter,hard rock,1988,207.72526,-9.727
Blind Lemon Jefferson,Got The Blues,blues,1926,175.15057,-19.239
Kenny Rogers,Love Is What We Make It,country rock,1999,258.89914,-15.835
The Rolling Stones,Start Me Up,rock,1981,242.20689,-3.237
The Cardigans,Marvel Hill,alternative rock,1998,255.39873,-8.022
Pierre Perret,Donnez-nous des jardins,electronic,1975,238.10567,-10.987
The Jason Bonham Band,Hold On,hard rock,1992,260.51873,-8.013
T.G. Sheppard,You're My First Lady,rock,1992,210.75546,-18.261
Busta Rhymes,We Got What You Want,hip hop,2001,231.49669,-5.349
Less Than Jake,Automatic,ska,1996,125.28281,-4.285
Anti-Flag,I Don't Wanna be a War Hero,rock,2003,99.00363,-6.459
Julien Clerc,Ma Préférence (Live),chanson,1994,266.29179,-12.623
Vixen,One Night Alone,hard rock,1988,229.642,-12.818
VHS Or Beta,Forever,rock,2004,343.562,-5.82
Tinariwen,Chatma,blues,2003,336.32608,-12.328
Faith Hill,Better Days (Album Version),country,1998,207.80363,-7.132
Miossec,Désolé Pour La Poussière,rock,2004,225.90649,-7.254
Cornell Campbell,Got To Tell The People,reggae,1997,184.99873,-15.726
Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,Rotate,hip hop,2009,256.1824,-3.163
Behemoth,Here And Beyond,death metal,2002,206.44526,-4.46
Pierre Perret,Marcel,electronic,1994,277.21098,-10.416
Seal,Prayer For The Dying (Live In Paris),dance pop,2005,304.14322,-6.373
Faron Young,I'll Be Yours,honky tonk,1994,168.72444,-13.601
Djelimady Tounkara,Sarankégni,folk,2005,487.33995,-9.777
Jean Corti,C'Etait Bien,jazz,2001,183.19628,-11.765
Moros Eros,Safety Net (Album Version),rock,2007,224.41751,-5.879
Harry Gregson-Williams,Whip Fight,soundtrack,2003,95.9473,-14.798
Mary Black & General Humbert,Isle of St. Helena,rock,1984,303.75138,-10.273
Speech,A Talk With Dad,hip hop,2003,160.93995,-22.033
Phil Collins,You Can't Hurry Love (Live),soft rock,1990,174.23628,-9.79
Lyrics Born,I Changed My Mind (DJ Spinna Remix),hip hop,2005,313.15546,-3.528
Black Flag,Out Of This World,hardcore punk,1985,133.25016,-13.77
Jim Reeves,Jingle Bells,country gospel,1963,108.19873,-13.323
Nestor Torres,This Side Of Paradise,latin jazz,2001,280.2673,-8.034
Jose Luis Perales,No Soy Uno Más,latin pop,2008,191.21587,-6.025
Carlos Vives,Cancion De Amor Eterno,vallenato,2000,112.90077,-17.548
Joe Bataan,Ernestine,disco,2005,311.19628,-11.574
Primordial,Autumn's Ablaze (Live),black metal,1998,484.10077,-13.383
Mike Vax,Trumpet Blues And Cantabile,jazz,2001,154.06975,-10.418
Capleton,Raggy Road,reggae,1997,86.88281,-8.834
Christophe Beck,Main Title,electronica,2002,91.21914,-26.631
Blind Willie Johnson,You'll Need Somebody On Your Bond,blues,1991,187.16689,-17.389
Usher Featuring The Nu Beginning,Only Human,hip hop,2004,338.75546,-11.215
Bob Marley & The Wailers,Three Little Birds,reggae,2007,320.15628,-8.959
Jack Johnson,Adrift,rock,2008,236.19873,-15.967
Blue Rodeo,Fools Like You,country rock,1992,280.65914,-6.033
Skeeter Davis,My Last Date (With You),rock,1988,146.28526,-12.439
Jackie Wilson,It's So Fine,rock,1958,128.93995,-9.936
Every Time I Die,Your Touch Versus Death,alternative metal,2000,215.43138,-9.171
William Orbit,Deus Ex Machina,electronic,1993,339.80036,-35.277
Jane's Addiction,True Nature,rock,2003,229.61587,-3.782
Sunscreem,Exodus,electronic,1995,232.4371,-8.955
The Mars Volta,Inertiatic Esp,progressive metal,2003,266.47465,-3.952
Maximilian Hecker,Sleepy Lad,rock,2004,174.23628,-14.689
FU-Schnickens,True Fuschnick,hip hop,1992,237.92281,-9.093
Slackbaba,Sea of Green,downtempo,2006,465.6322,-7.016
Agnostic Front,Sickness,heavy metal,1999,92.18567,-3.565
U2,40,dance rock,1992,406.85669,-8.539
Hevia,Baños De Budapest (Extended Remix),rock,2005,331.88526,-4.769
Ayo,Only You,reggae,2006,288.49587,-11.471
John Sebastian,One Step Forward_ Two Steps Back,singer-songwriter,1976,276.45342,-12.983
The Ataris,Secret Handshakes,rock,2006,222.9024,-4.317
Tones On Tail,Burning Skies,rock,1987,387.16036,-11.705
X-ecutioners featuring M.O.P.,Let It Bang,hip hop,2001,210.07628,-4.33
Bloomfield,Boulevard St. Germain,deep house,2006,353.69751,-6.718
Ten Years After,Year 3_000 Blues (2002 Digital Remaster),blues-rock,1970,145.00526,-10.124
Black Eyed Peas,Tell Your Momma Come,hip hop,2000,196.362,-5.065
Adrenalin O.D.,Anarchy in the UK (Sex Pistols) (Bonus Track),hardcore punk,1986,142.65424,-5.235
Danielle Bollinger,Kiss the Sky,progressive house,2006,223.52934,-4.518
Martina McBride,Anything's Better Than Feelin' The Blues,pop,1999,181.86404,-7.914
Teenage Fanclub,I Don't Know,indie rock,1991,274.70322,-15.838
Dora The Explorer,Mary Had A Little Lamb,soundtrack,2008,169.09016,-3.215
Hins Cheung,Xue Hua Chao,cantonese pop,2008,238.21016,-6.339
Tha Liks,40 OZ Quartet Part I,hip hop,2001,108.2771,-6.929
Vangelis,3 + 3,progressive rock,1977,575.58159,-17.058
Neil Diamond,Song Sung Blue,rock,1972,194.40281,-8.351
High Strung_ The,Ain't That Something,indie rock,2003,165.3024,-2.694
North Mississippi Allstars,2StepN,blues-rock,2006,166.21669,-8.235
Four Tet,I've got Vilking in Me,electronic,2004,136.202,-17.977
Death Cab for Cutie,You Can Do Better Than Me (Album Version),indie pop,2008,119.40526,-10.775
John Digweed,Warung Beach,progressive house,2006,405.10649,-5.988
Jaco & Mixxmaster,Feeling,trance,2008,441.99138,-5.639
Set Your Goals,This Very Moment,pop punk,2006,153.23383,-6.754
Jimmy McCracklin,Gotta Cut Out,blues,2002,147.64363,-8.441
Tony Joe White,The Coloness Of The Chain,country rock,1993,329.35138,-17.816
Phantom Planet,Here I Am,rock,2004,120.65914,-9.628
Soulwax,Kill Your Darlings,dance rock,1996,201.24689,-8.146
The Shirelles,Foolish Little Girl,rock,1963,132.33587,-11.49
Jack Johnson,Inaudible Melodies,rock,2000,207.09832,-15.218
Catupecu Machu,A Veces Vuelvo,rock,2004,266.1873,-4.768
Kathy Mattea,Isle Of Inishmore - Part 1 (Air),singer-songwriter,2002,124.83873,-14.479
Billy Pilgrim,Caroline (LP Version),folk-pop,1995,220.26404,-7.152
Orbital,Forever,techno,1994,478.45832,-13.27
Mungo Jerry,It's A Secret,rock,1995,193.90649,-9.984
Bryan White,God Gave Me You (Single/LP Version),country,1999,245.81179,-7.92
Kool Moe Dee,Death Blow,hip hop,1991,397.5571,-8.74
Madonna,4 Minutes [Featuring Justin Timberlake And Timbaland] [Junkie XL Remix Edit],dance pop,2008,277.99465,-3.629
Benga,The Future,dubstep,2006,277.55057,-8.525
Bobaflex,Turn The Heat Up,hard rock,2005,147.43465,-3.124
Martin Sexton,My Maria (LP Version),singer-songwriter,1998,244.4273,-10.218
Darden Smith,Frankie & Sue,blues-rock,1990,207.41179,-10.052
Radiohead,You (Demo),rock,2009,204.06812,-13.708
The Chieftains,No. 6 The Coombe,irish folk,1977,231.1571,-13.855
The Last Days Of Jesus,Death Song,rock,2004,292.57098,-8.232
Stephan Micus,Virgen De La Nieve - 14-String Guitar Solo,jazz,2002,336.09098,-26.688
Dub Pistols feat. TK & Ashley Slater,Everyday Stranger,electronic,2009,328.48934,-6.841
Bob Willis,Sugar Blues,western swing,2000,172.09424,-13.559
FFH,Here I Am,ccm,2003,263.83628,-6.315
New Direction,Who Do You Roll With?  (LP Version),rap,1999,265.24689,-6.611
John Mellencamp,Down And Out In Paradise,heartland rock,1987,216.86812,-8.698
Gene Pitney,Every Breath I Take,brill building pop,1986,166.3473,-6.832
Dynamite Deluxe,Zornig!,hip hop,2000,148.29669,-8.315
Paris_ Texas,Hip Replacement,hip hop,2002,225.67138,-6.737
Los Auténticos Decadentes,El Chorro,rock,1997,153.57342,-5.79
Busdriver,Unemployed Black Astronaut,indie rock,2005,240.71791,-5.281
Pedro Luis e a Parede,Soul,samba,1997,229.45914,-6.032
Fran Perea,Entonces,rock,2005,173.08689,-3.39
Martina McBride,Heart Trouble,pop,1993,198.42567,-7.958
Reach 454,6 Yrs (Album Version ),alternative metal,2003,237.19138,-2.76
The James Taylor Quartet,Creation,jazz,1996,315.14077,-14.334
Dax Riggs,Didn't Know Yet What I'd Know When I Was Bleedin',rock,2007,157.36118,-6.34
The Ronettes,Born To Be Together,rock,1991,177.81506,-9.54
Robben Ford,Talk To Your Daughter (Album Version),blues,1988,250.53995,-12.685
Curtis Mayfield,You Better Stop,rock,1979,411.92444,-9.633
Rick Astley,Hopelessly,dance pop,1993,215.09179,-10.612
Lara Fabian,Ramène Moi,ballad,1994,273.13587,-7.387
The Pharcyde,Storm,rap,2004,217.88689,-4.163
Workhorse,Flight of the Elephant,dirty south rap,2007,370.85995,-8.816
Mad Are Sane_ The,Animal Crimes,punk,1984,228.8322,-8.999
Michèle Bernard,Canal de jonage,chanson,2006,230.24281,-12.166
U2,October,dance rock,1981,142.23628,-14.05
Eddie,Pode Me Chamar,rock,2007,243.17342,-11.996
Johnny Horton,Go And Wash (Those Dirty Feet),rock,2005,138.86649,-16.059
ZO2,Comin' Home,hard rock,2007,346.51383,-5.802
Mannheim Steamroller,The Christmas Song,electronic,2009,199.83628,-11.949
Månegarm,Ur Själslig Död,rock,2007,264.6722,-3.779
April Wine,Babes In Arms,hard rock,1979,200.9073,-13.613
Mariah Carey,Honey,dance pop,1997,301.19138,-7.488
James Horner,Rescue And Breakout,rock,2003,203.54567,-16.487
Alex Ubago,20 horas de nada,pop,2009,216.58077,-7.91
Amorphis,The Lost Name of God,death metal,1992,332.06812,-7.107
Atomic Rooster,Little Bit of Inner Air,hard rock,1972,159.60771,-9.079
Mike And The Mechanics,Seeing Is Believing,pop rock,1988,193.56689,-5.24
Tam Tam Go!,Atrapados En La Red,rock,1999,405.41995,-4.811
Maroon 5,Through With You,rock,2002,181.52444,-5.622
Salt-N-Pepa,Push It,hip hop,1988,207.62077,-5.668
Zeromancer,V,rock,2010,280.08444,-6.707
Junior Reid,No Loafting,reggae,1994,199.75791,-8.141
Jacques Dutronc,L'Aventurier,chanson,1969,151.09179,-7.246
Jackie Edwards,Ali Baba,reggae,2003,179.09506,-6.543
Screamin' Jay Hawkins,Talk About Me,r&b,1995,150.56934,-11.316
Fall Out Boy,America's Suitehearts,pop punk,2008,214.33424,-4.469
Don Gibson,(Prayer Is The Key To Heaven) Faith Unlocks The Door,rock,1959,151.09179,-15.854
Dream Warriors,Sound Clash (featuring Beenie Man) - FattaSly Extended Mix,hip hop,1996,414.24934,-8.164
Mau Mau,Gamble Calypso,electronic,2000,232.12363,-8.714
Line Renaud,Mambo Bacan,chanson,1994,157.93587,-11.051
Chico Cesar,Feriado,brazilian pop music,2008,238.23628,-7.083
Bert Kaempfert,Sugar Bush,jazz,1997,201.42975,-18.994
Tommy James And The Shondells,Gettin' Together,pop rock,1989,136.12363,-11.298
Autumnblaze,Haughtiness And Puerile Dreams,rock,2009,277.75955,-5.903
City High,What Would You Do?,hip hop,2001,174.91546,-6.567
Malefaction,Ongoing Plague,grindcore,2003,139.17995,-4.65
Sonora Carruseles,La Chola Caderona,salsa,1999,295.31383,-3.934
Terry Riley,Peace Dance,electronic,1992,349.20444,-16.387
Julio Iglesias Jr,Angel,electronic,2008,252.13342,-7.233
Joy Enriquez,Between You And Me,hip hop,2001,260.96281,-3.941
Iggy Pop,Main Street Eyes,hard rock,1990,221.43955,-11.278
Static-X,Night Terrors (Album Version),industrial metal,2005,189.09995,-3.294
Britney Spears,Can't Make You Love Me,dance pop,2000,196.80608,-3.693
Billie Jo Spears,Misty Blue,oldies,1976,159.81669,-15.342
Mighty Mighty Bosstones,Guns And The Young,ska punk,1992,142.73261,-7.982
Heaven 17,We Blame Love,electronic,1996,287.39873,-10.025
The Antlers,The Carrying Arms,chamber pop,2007,107.98975,-17.624
RUN-DMC,Jam-Master Jammin',hip hop,1985,259.97016,-14.283
M.A. Numminen,Suti-suti,rock,2002,118.30812,-9.169
Lil' Band O' Gold,Shirley,zydeco,2000,150.49098,-10.449
Annie Lennox,Little Bird,rock,1992,385.01832,-9.027
Goose,Bring It On,rock,2006,395.85914,-5.346
Remmy Ongala,Karola,hip hop,2007,348.52526,-12.061
The Black Crowes,Roll Old Jeremiah,rock,2009,263.52281,-12.732
Alexander O'Neal,Secret Lovers (Featuring Mica Paris),disco,2008,268.2771,-6.59
Orquesta America,Boda de Oro,charanga,1997,353.69751,-11.711
Dons,American Lovebite,power pop,2006,200.51546,-6.568
The Real Kids,Just Like Darts,rock,1977,263.75791,-12.432
Beth Nielsen Chapman,Fair Enough (LP Version),singer-songwriter,1997,220.05506,-11.168
Mae West,Imaginary Love,rock,2006,174.49751,-23.041
The Summer Obsession,Where You Belong,emo,2006,282.04363,-6.327
Jean Ferret,Les Deux Guitares,jazz,1991,172.61669,-16.532
Leaders Of The New School,The End Is Near (LP Version),hip hop,1993,263.88853,-11.621
Marshall Crenshaw,From Now Until Then,power pop,2003,244.76689,-5.938
Fernando Ortega,Pass Me Not (LP Version),ccm,2003,130.76853,-11.769
Chris Rea,Josephine,singer-songwriter,1985,308.45342,-11.082
Murphy Lee / Zee,Murphy Lee,pop rap,2003,268.90404,-4.936
Esperanza Spalding / Leo Genovese,Love In Time,jazz,2008,345.5473,-15.525
Roy Roberts,Let's Wrap Up,blues,1997,189.93587,-16.141
themselves,Oversleeping,hip hop,2009,195.18649,-6.324
U.K. Subs,Fear of Girls (Live in Croatia_ 1993),oi,1993,116.1922,-14.616
Cam'Ron,I'm A Chicken Head (Skit),rap,2004,85.96853,-19.67
Tina Ann,Rules of Attraction (Chris Cox),progressive house,2003,251.76771,-2.62
Kyle Eastwood,How Y' All Doin',hard bop,2006,207.20281,-14.233
Urge Overkill,Crackbabies,hard rock,1993,243.17342,-6.149
Bill Cosby,Fat Albert's Car,funk,1973,498.33751,-17.315
Bad Company,Rock Steady,blues-rock,1974,249.83465,-7.844
Gaither Vocal Band,Knowing You'll Be There,ccm,2003,276.74077,-9.889
Mariachi Silvestre Vargas,Cielito lindo,mariachi,2006,186.09587,-12.881
Nightfall,So(u)l Invictus,rock,2004,190.87628,-4.67
Spunk,Marbles,free improvisation,2005,139.2322,-14.107
Ann Hampton Callaway,For All We Know,vocal jazz,2005,304.71791,-16.657
Alex Ubago,Ciudad desierta,pop,2009,186.09587,-5.274
Brooke White,Hold Up My Heart,pop rock,2009,233.79546,-8.023
The Jeff Healey Band,See The Light,blues,1988,267.33669,-4.732
Arthur Tracy,A Sailboat In The Moonlight,vaudeville,1993,173.89669,-19.404
themselves,Directions to my special place,hip hop,2003,274.1024,-13.275
Tina Ann,I Do (Chris The Greek Remix),progressive house,2003,237.53098,-5.447
Colin James,Better Days,blues,1995,280.11057,-8.882
Shadows Fall,Crushing Belial,rock,2000,325.17179,-7.736
Melvins,Nude With Boots,sludge metal,2008,217.80853,-7.616
Bad Brains,God Of Love (Album Version),rock,1995,163.18649,-5.663
The Funeral Pyre,Here The Sun Never Shines,black metal,2006,271.22893,-5.587
Fountains Of Wayne,Laser Show (LP Version),power pop,1999,144.71791,-5.759
Motograter,Red (Main Version),alternative metal,2003,226.92526,-4.83
Stone Temple Pilots,Down (LP Version),rock,2003,228.96281,-3.925
Mint Condition,Call Me,new jack swing,1999,293.66812,-11.083
BoDeans,Back Then,rock,2010,216.08444,-5.892
Finntroll,Ett Norrskensdåd,heavy metal,2010,214.30812,-5.061
Negura Bunget,Cunoasterea Tacuta,black metal,2006,431.72526,-5.27
Showbread,Dinosaur Bones,post-hardcore,2006,264.01914,-4.789
Kathy Troccoli,You've Got A Friend,ccm,2005,282.20036,-14.014
Britney Spears,Oops!...I Did It Again,dance pop,2000,211.01669,-5.205
Groupa,Bliv Du Till Gran (If You Became A Spruce),folk,1999,229.56363,-10.681
R.E.M.,Final Straw (Album Version),alternative rock,2004,246.17751,-7.534
Sleepy John Estes,Lawyer Clark Blues,blues,1965,190.27546,-19.297
Kane,Damn those eyes,blues-rock,1999,422.73914,-11.59
Nickelback,If Today Was Your Last Day (Album Version),rock,2008,248.05832,-4.157
Winifred Phillips,Misty Bog,soundtrack,2009,80.61342,-13.509
Alceu Valença,Cintura Fina,brazilian pop music,1998,188.65587,-8.593
Mudhoney,New Meaning,grunge,2008,159.65995,-6.077
Alexandre Desplat,Breaking In,soundtrack,2005,177.03138,-20.247
Hem,Polly's Dress,folk-pop,2000,71.05261,-21.694
Shakira,Objection (Tango),dance pop,2001,224.522,-5.823
White Willow,The Dark Road,rock,2006,257.27955,-6.776
Wyclef Jean,Guantanamera,hip hop,1997,208.29995,-11.667
Small Faces,What'Cha Gonna Do About It,pop rock,1965,129.90649,-5.84
The Misfits,We Bite,hardcore punk,1982,73.09016,-7.897
Maximilian Hecker,Polyester,rock,2001,228.80608,-10.688
Swallow The Sun,Doomed To Walk The Earth,doom metal,2007,509.49179,-6.664
Unwritten Law,Superman,post-grunge,1996,216.81587,-5.243
Eagles Of Death Metal,As Nice As I Can Be,hard rock,2009,225.48853,-3.092
John Ottman,The People You Care For,rock,2006,205.92281,-13.522
Beherit,Sense,black metal,1995,625.57995,-20.665
Van Halen,House Of Pain,hard rock,1983,199.10485,-12.063
Lot Lorien,Byal ravnec,ballad,2007,368.16934,-8.684
Jennifer Lopez,Still,dance pop,2002,220.55138,-5.046
The Distillers,Ask The Angels,punk,2000,190.95465,-4.802
Jeff Scott Soto,2 Late 4 Goodbyes,hard rock,2002,302.00118,-4.799
Grey Area,All Time Low (Album Version),downtempo,1997,189.33506,-5.729
Sister Hazel,Vacation Rain (Album),post-grunge,2010,231.36608,-7.128
Kitaro,Harmony Of The Forest,electronic,1999,382.51057,-18.179
Paul Carrack,I'm On Your Tail,blue-eyed soul,1989,374.96118,-11.38
My Chemical Romance,The End. [Live In Mexico],emo,2008,154.30485,-9.097
The Roches,We Three Kings,singer-songwriter,1990,329.45587,-13.209
Bukka White,Sleepy Man Blues,blues,1940,159.00689,-22.507
Keb' Mo',The Door,blues,2000,236.48608,-11.0
Screaming Lord Sutch,Murder In The Graveyard,rock,1982,184.05832,-11.588
Owl City,On The Wing,electronica,2008,301.16526,-6.445
AFI,Darling_ I Want To Destroy You,punk,2009,223.29424,-4.346
Belphegor,Armageddon's Raid,black metal,2008,308.76689,-2.027
Dionne Warwick,Let It Be Me,brill building pop,2006,226.58567,-18.063
Les Ogres De Barback,De rien,chanson,1999,189.85751,-10.82
Youves,On Probation,dance-punk,2008,235.20608,-7.012
The Radio Department,I Don't Like It Like This,shoegaze,2005,248.24118,-9.024
Matt Redman,Facedown,ccm,2003,336.92689,-9.515
Gary Moore,Nothing's The Same (2002 Digital Remaster),blues-rock,1992,306.72934,-18.389
Paul Brown,Side Steppin',smooth jazz,2005,214.69995,-8.283
Maroon 5,She Will Be Loved,rock,2002,261.61587,-5.743
Ec8or,I'm A Tomorrow,hardcore techno,2000,123.61098,-4.652
Aerosmith,Janie's Got A Gun,hard rock,1989,329.69098,-6.658
Sharon Burch,Don't Be Afraid (World),singer-songwriter,1999,183.30077,-14.16
Sade,Morning Bird,jazz,2010,234.26567,-17.279
The Cat's Miaow,Talking To Trees,indie rock,2003,103.00036,-15.828
Les Ogres De Barback,Flute,chanson,2001,247.32689,-11.61
Danny Barnes,Big Girl Blues,indie rock,2005,169.482,-12.427
Goldfish,Tracy,techno,2004,172.61669,-8.209
Nickelback,Savin' Me,rock,2005,217.62567,-4.278
Stevie Ray Vaughan And Double Trouble,Ain't Gone 'N' Give Up On Love,blues,2005,368.63955,-12.077
Black Debbath,The Four Big Ones (Essential Authors And Works),blues,2001,265.7171,-6.409
Andy & Lucas,Quiero Ser Tu Sueño,flamenco,2005,207.62077,-5.116
Silverstein,MY HERIONE (Acoustic Version),emo,2006,214.04689,-7.896
Lennie Tristano,Becoming (LP Version),jazz,1994,271.25506,-15.324
Tin Hat Trio,Scrap,jazz,2000,44.59057,-15.406
